 অকর্ম  |/বিশেষ্য পদ/ কুকর্ম, অকাজ, নিষ্ক্রিয়তা। /বিশেষণ পদ/ অকর্মা- কর্মহীন। অকর্মার ধাড়ী- অলস ব্যক্তি; অক্ষমতার জন্য কাজ নষ্ট করে যে। অকর্মক- অযোগ্য কর্মপদশূন্য; যথা- অকর্মক ক্রিয়া।
 অকলঙ্ক  |/বিশেষণ পদ/ কলঙ্কশুন্য, নির্মল, নির্দোষ।
 অকলঙ্কিত  |/বিশেষণ পদ/ নির্মল।
 অকলঙ্কী  |/বিশেষণ পদ/ নিষ্কলঙ্ক, নির্দোষ।
 অকলুষ  |১. /বিশেষ্য পদ/ পাপের অভাব, ২. /বিশেষণ পদ/ নিষ্পাপ, মালিন্যবিহীন। /বিশেষণ পদ/ অকলুষিত- মালিন্যহীন।
 অকল্প  |/বিশেষণ পদ/ নিশ্চল, কম্পনশূন্য, স্থির, অবিচলিত।
 অকল্পিত  |/বিশেষণ পদ/ যাহা কল্পিত নহে, অকাল্পনিক, অকৃত্রিম।
 অকল্যাণ  |/বিশেষ্য পদ/ অশুভ, অমঙ্গল। /বিশেষণ পদ/ অকল্যাণকর- অশুভকর।
 অকস্মাৎ  |/অব্যয় , ক্রিয়া বিশেষণ পদ/ সহসা, হঠাৎ, অতর্কিতভাবে।
 অকাজ  |/বিশেষ্য পদ/ বাজে কাজ, কুকাজ।
 অকাট  |/বিশেষণ পদ/ নিরেট, মহামূর্খ, হাঁদা।
 অকাট্য  |/বিশেষণ পদ/ অখন্ডনীয়, অকর্তনীয়অকাট্য যুক্তি.।
 অকাতর  |/বিশেষণ পদ/ দুঃখে অনভিভূত, কাতর নহে এমন, ব্যাকুলতাশূন্য। /ক্রিয়া বিশেষণ পদ/ অকাতরে।
 অকাম  |১. /বিশেষণ পদ/ কামনাশূন্য, নিষ্কাম, ইন্দ্রিয়সুখ প্রবৃত্তিশূন্য, ২. /বিশেষ্য পদ/ অকাজ। /বিশেষণ পদ/ অকাম্য- অবাঞ্ছনীয়।
 অকার  |/বিশেষ্য পদ/ 'অ'-ধ্বনি। বাংলা ভাষার আদ্যস্বর।
 অকারণ  |১. /বিশেষণ পদ/ কারণবিহীন। ২./ক্রিয়া বিশেষণ পদ/ অনর্থক, মিছামিছি।
 অকারন্ত  |য়াহার শেষে অ-কার আছে এমন শব্দ।
 অকার্য  |১./বিশেষ্য পদ/ অকাজ, কুকাজ, বাজেকাজ। ২. /বিশেষণ পদ/ অকর্তব্য, অকরণীয়।
 অকাল  |/বিশেষ্য পদ/ দুঃসময়, অশুভসময়, শুভকার্যের পক্ষে অনুপযোগী সময়, দুর্ভিক্ষ।
 অকাল কুষ্মাণ্ড  |অকালে উৎপন্ন কুমড়া, অযোগ্য ব্যক্তি, মূর্খ লোক।
 অকালজাত  |স্বাভাবিক সময়ের পূর্বে জন্মেছে এমন; অসময়ে জাত।
 অকালপক্ক  |/বিশেষণ পদ/ অসময়ে অর্থাৎ স্বাভাবিক সময়ের পূর্বে পাকিয়াছে এমন। ইঁচড়ে পাকা, বুড়োটে।
 অকালবৃদ্ধ  |পরিণত বয়সের পূর্বেই যাহার বার্ধক্য আসিয়াছে এমন ব্যক্তি।
 অকালবোধন  |অসময়ে দেব-পূজা। কৃত্তিবাসী রামায়ণে আছে রাবণবধের উদ্দেশ্যে শ্রীরামচন্ত্র অকালে, অর্থাৎ বসন্তকালের পরিবর্তে শরৎকালে দেবী দূর্গার অর্চনা করেন.।
 অকালমৃতু্য  |পরিণত বয়সের পূর্বেই মৃতু্য হওয়া।
 অকালী  |/বিশেষ্য পদ/ শিখ সম্প্রদায় বিশেষ। অকাল পুরুষকে অর্থাৎ অবিনশ্বর আত্মাকে ভজনা করে যে সম্প্রদায়.।
 অকায়  |১. /বিশেষ্য পদ/ পরমাত্মা, রাহুগ্রহ। ২. /বিশেষণ পদ/ দেহশূন্য,অশরীরী।
 অকিঞ্চন  |/বিশেষ্য পদ , বিশেষণ পদ/ নির্ধন, দরিদ্র, নিঃস্ব, সামান্য তুচ্ছ, ইতর।
 অকিঞ্চিৎ  |/বিশেষণ পদ/ নগণ্য, তুচ্ছ, হেয়।
 অকিল্মিষ  |/বিশেষণ পদ/ পাপশূন্য, দোষহীন।
 অকীক  |/বিশেষ্য পদ/ ঈষৎ নীল, ঈষৎ শ্বেত শ্যামবর্ণ, পান্ডুবর্ণ, ভারতীয় প্রস্তরবিশেষ।
 অকীর্তি  |/বিশেষ্য পদ/ অখ্যাতি, দুর্নাম, অপযশ।
 অকীর্তিকর  |/বিশেষণ পদ/ অখ্যাতিজনক।
 অকীর্তিত  |/বিশেষণ পদ/ অঘোষিত, অ-প্রচারিত।
 অকু  |/বিশেষ্য পদ/ ঘটনা, দুর্ঘটনা, অন্যায় কার্য। /আরবি/।
 অকুণ্ঠ  |/বিশেষণ পদ/ অসঙ্কুচিত, অপ্রতিহত।
 অকুতোভয়  |/বিশেষণ পদ/ যাহার কোথাও হইতে ভয় নাই, নির্ভয়, নির্ভীক। স্ত্রীলিঙ্গ. অকুতোভয়া।
 অকুমার  |/বিশেষ্য পদ/ প্রকৃত কুমার।
 অকুল  |/বিশেষ্য পদ/ বংশহীন, নীচ বংশ, অকুলীন।
 অকুলন  |/বিশেষ্য পদ/ অপ্রতুল, অনটন, অভাব।
 অকুলীন  |/বিশেষণ পদ/ বংশমর্যাদাহীন, নীচবংশ যার।
 অকুশল  |১. /বিশেষ্য পদ/ অশুভ, অমঙ্গল। ২. /বিশেষণ পদ/ অপটু, নৈপুণ্যবিহীন।
 অকুস্থল  |যে জায়গায় দুর্ঘটনা ঘটিয়াছে।
 অকূল  |১. /বিশেষণ পদ/ পাড় বা তীর নাই এমন অকূল দরিয়ার পানি.; অপার, অসীম। ২. /বিশেষ্য পদ/ অকূল বিপদ।
 অকূল পাথার  |অসীম সমুদ্র।
 অকূলে কূল পাওয়া  |বিপদে সাহায্য পাওয়া, সঙ্কটে উদ্ধার পাওয়া।
 অকূলে ভাসা  |বিপদ্‌গ্রস্ত হওয়া।
 অকৃত  |/বিশেষণ পদ/ অসম্পন্ন, অননুষ্ঠিত, যাহা করা হয় নাই এমন।
 অকৃতকার্য  |বিফল মনোরথ, ব্যর্থ প্রয়াস, চেষ্টা করিয়া সফল হয় নাই এমন।/বিশেষ্য পদ/ অকৃতকার্যতা।
 অকৃতজ্ঞ  |/বিশেষণ পদ/ কৃতঘ্ন ; উপকারীর উপকার স্বীকার করে না যে। /বিশেষ্য পদ/ অকৃতজ্ঞতা।
 অকৃতদার  |/বিশেষণ পদ/ অবিবাহিত।
 অকৃতার্থ  |/বিশেষণ পদ/ অপূর্ণ মনোরথ, বিফল মনোরথ।
 অকৃতি  |/বিশেষ্য পদ/ কৃতির অভাব; অকরণ।
 অকৃতিত্ব  |/বিশেষ্য পদ/ অক্ষমতা।
 অকৃতী  |/বিশেষণ পদ/ কার্যে অপটু, অক্ষম। /ন+কৃতিন্‌/।
 আ  |দ্বিতীয় স্বরবর্ণ।
 আঁইষ  |আঁষ-এর রূপভেদ।
 আঁক  |/বিশেষ্য পদ/ অঙ্ক, রেখা।
 আঁকন  |/বিশেষ্য পদ/ অঙ্কিতব্য বস্তু, বাঁকা চিহ্ন।
 আঁকশি  |/বিশেষ্য পদ/ লতানো গাছ যাহার সাহায়ে্য অপর গাছকে জড়াইয়া উপরে উঠে, আঁকড়া, গাছ হইতে ফলাদি পাড়ায় লগি।
 আঁকা  |/ক্রিয়া পদ/ ছবি বা রেখাদি চিত্রিত করা। /বিশেষ্য পদ/ অঙ্কণ। /বিশেষণ পদ/ অঙ্কিত, লিখিত।
 আঁকান  |/বিশেষণ পদ/ যাহা আঁকানো হইয়াছে।
 আঁকাবাঁকা  |/বিশেষণ পদ/ বাঁকাটেড়া।
 আঁকুপাঁকু  |/বিশেষ্য পদ/ উদ্বিগ্নতা, ব্যস্তভাব।
 আঁকুশি  |/বিশেষ্য পদ/ লতানো গাছ যাহার সাহায়ে্য অপর গাছকে জড়াইয়া উপরে উঠে, আঁকড়া, গাছ হইতে ফলাদি পাড়ায় লগি।
 আঁকড়া  |কোন জিনিস ঝুলাইবার হুড়কো।
 আঁকড়া-আঁকড়ি  |জড়াজড়ি।
 আঁকড়ান  |/ক্রিয়া পদ/ কাঁটা জাতীয় বস্তু, বাঁকা চিহ্ন।
 আঁকড়ি  |/বিশেষ্য পদ/ কাঁটা জাতীয় বস্তু, বাঁকা চিহ্ন।
 আঁখ  |/বিশেষ্য পদ/ চক্ষু, চোখ, নেত্র।
 আঁখর  |/বিশেষ্য পদ/ আঁচড়, দাগ, অক্ষর, বর্ণ।
 আঁখিজল  |-অশ্রু।
 আঁখিঠার  |- চোখের ইশারা।
 আঁচ  |/বিশেষ্য পদ/ অনুমান; পূর্বাহ্নেই বুঝিতে পারা।
 আঁচন  |/ক্রিয়া পদ/ খাওয়ার পর এঁটো মুখ ধোওয়া, আচমন। না আঁচালে বিশ্বাস নাই-কিছু হস্তগত না হওয়া পর্যন্ত বিশ্বাস নাই।
 আঁচল  |/বিশেষ্য পদ/ কাপড়ের খুঁটি।
 আঁচলধরা  |/বিশেষণ পদ/ স্ত্রৈণ।
 আঁচা  |/ক্রিয়া পদ/ অনুমান করা। /বিশেষ্য পদ/ অনুমান।
 আঁচিল  |/বিশেষ্য পদ/ শরীরের চামড়ার ওপর ব্রণের মত বাড়তি মাংস।
 আঁচড়  |/বিশেষ্য পদ/ আঁখর, চিহ্ন, দাগ।
 আঁচড়া-আঁচড়ি  |-চিমটি কাটাকাটির লড়াই।
 আঁচড়ান  |/ক্রিয়া পদ/ নখাদির দ্বারা দাগ কাটা। /বিশেষ্য পদ/ আঁচড়ানোর কাজ। /বিশেষণ পদ/ আঁচড়াইয়া পরিপাটি করার জিনিস বিশেষ আঁচড়ানো চুল.।
 আঁচ২  |/বিশেষ্য পদ/ জ্বলন্ত আগুন, উনানের আগুন, তাপ।
 আঁজনাই  |-অঞ্জনি, চক্ষুরোগ বিশেষ।
 আঁজলা  |/বিশেষ্য পদ/ হাতের চেটো, করপুট। /বিশেষণ পদ/ আঁজলা-পরিমাণ।
 আঁট  |/বিশেষ্য পদ/ আঁটসাঁট, শক্ত-পোক্ত। /বিশেষণ পদ/ টান-টান, ঠিক মাপের চেয়ে কম, টাইট্‌।
 আঁটকুড়  |/বিশেষণ পদ/ সন্তানহীন।
 আঁটকুড়ী  |/বিশেষণ পদ/ স্ত্রীলিঙ্গ. বাঁজা, বন্ধ্যা।
 আঁটনি  |/বিশেষ্য পদ/ শক্ত বাঁধন। বজ্র আঁটুনি ফস্‌কা গেরো-বাঁধন যত শক্ত, এড়ান তত সহজ।
 আঁটা  |/ক্রিয়া পদ/ কষিয়া বাঁধা, লাগানো, ধরা। /বিশেষণ পদ/ বন্ধ।
 আঁটাআঁটি  |-কষাকষি।
 আঁটি  |/বিশেষ্য পদ/ গোছা।  যেমন-ধানের আঁটি, খড়ের আঁটি ইত্যাদি.।
 আঁটি-সাঁটি  |-আঁট-সাঁট।
 আঁটি২  |/বিশেষ্য পদ/ ফলের বীজ। বোঝার ওপর শাকের আঁটি - গোদের ওপর বিষ ফোঁড়া; গুরুভারের উপর আরও একটু বোঝার চাপ।
 আঁটুবাঁটু  |/বিশেষ্য পদ , ক্রিয়া বিশেষণ পদ/ অক্ষমতা সত্ত্বেও চেষ্টা করা। 'চলনে আঁটুবাঁটু'.....।
 আঁত  |/বিশেষ্য পদ/ নাড়ী, অন্তর, মনোভাব, অন্ত্র। 'আঁতে ঘা'.।
 আঁত-আঁতড়ি  |নাড়ীভুঁড়ি।
 আঁতকান  |/ক্রিয়া পদ/ ভয়ে চমকিয়া উঠা। /বিশেষণ পদ/ চমকানো।
 আঁতাত  |/বিশেষ্য পদ/ বিভন্ন রাষ্ট্রের মধ্যে মিত্রতা, সহযোগিতা। /ফ্রে/
 আঁতুড়  |/বিশেষ্য পদ/ প্রসূতিগৃহ, সূতিকাগার।
 আঁদিসাদি  |/বিশেষ্য পদ/ ফাঁক, ব্যবধান, শৃঙ্খলা।
 আঁধলা  |/বিশেষ্য পদ/ অন্ধ। / হি অন্ধেলা/।
 আঁধার  |/বিশেষ্য পদ/ অন্ধকার। /বিশেষণ পদ/ আলোহীন, অপরিষ্কার। আঁধার ঘরের মানিক- দুঃখীর একমাত্র সুখ। আঁধার ঘরের প্রদীপ- অত্যন্ত প্রিয়জন।
 আঁধি  |/বিশেষ্য পদ/ শুকনো ধূলোর ঝড়; মনঃপীড়া।
 আঁব  |আম-এর বিকৃত উচ্চারণ।
 আঁবুই  |/বিশেষ্য পদ/ ভাই বা বোনের শাশুড়ী।
 আঁশ  |/বিশেষ্য পদ/ র্সক্ষ্ণ সূতা, তন্তু, গাছের ছালের মধ্যে যে তন্তু থাকে, মাছের আঁশ।
 আঁশ, আঁইশ  |/বিশেষ্য পদ/ তন্তু, রোঁয়া তুলার., শল্ক মাছের আঁশ.।
 আঁশফল  |/বিশেষ্য পদ/ একরকম মিষ্টি সুস্বাদু ফল।
 আঁশান  |/ক্রিয়া পদ/ মিষ্টি বা পিঠা; চিনি কিম্বা গুড়ের রসে আঁচ দেওয়া। /বিশেষ্য , বিশেষণ পদ/ শুকানো।
 আঁশাল  |/বিশেষণ পদ/ আঁশ বা তন্তু বিশিষ্ট আঁশালো আম.।
 আঁষ  |/বিশেষ্য পদ/ মাছ-মংস ইত্যাদি আমিষ বস্তু।
 আঁষটে  |/বিশেষণ পদ/ মাছ-মাংসাদির গন্ধ আঁষ্টে-গন্ধ.।
 আঁস্তাকুড়  |/বিশেষ্য পদ/ উচ্ছিষ্ট বা আবর্জনা ফেলার স্থান। আঁস্তাকুড়ের পাতা- ফেলনা এঁটো পাতা; হেয় ব্যক্তি। আঁস্তাকুড়ের পাতা কখনো স্বর্গে যায় না- নীচ কখনও উচ্চ সমাজে উঠিতে পারে না।
 আংটা  |/বিশেষ্য পদ/ অনেকক্ষন আগুন, জিয়াইয়া রাখার পাত্র।
 আংটি  |াবঃ আঙুলে পরার ধাতু-বলয়, অঙ্গুরীয়ক।
 আংরা  |/বিশেষ্য পদ/ জ্বলন্ত কয়লা।
 আংরাখা  |/বিশেষ্য পদ/ আচকান। পাঞ্জাব, লক্ষ্নৌ, এলাহাবাদ ইত্যাদি স্থানের অধিবাসীরা জামার উপরে যে ঢিলা জামা পরে.।
 আংশিক  |/বিশেষণ পদ/ একটা গোট জিনিষেল ভাগ বিশেষ।, হিস্‌সা।
 আঃ  |/অব্যয় পদ/ আশ্চর্য জ্ঞাপক ধ্বনি বিশেষ।
 আই-আই  |/অব্যয় পদ/ ঘৃণাসূচক শব্দ। আউ আউ, আউছি-অত্যন্ত নিন্দা.।
 আই-বড়  |/বিশেষণ পদ/ অবিবাহিত।
 আইও  |এয়ো এর গ্রাম্যরূপ।
 আইচ  |/বিশেষ্য পদ/ বৃক্ষবিশেষ বা তাহার ফুল; পদবী-বিশেষ বা উপাধিবিশেষ।
 আইডিন  |আয়োডিন এর রূপভেদ।
 আইঢাই  |/ক্রিয়া বিশেষণ পদ/ অস্থির, ছটফট প্রাণ আইঢাই করিতেছে.।
 আইন  |/বিশেষ্য পদ/ রাজবিধি, সরকারী বিধি; কানুন, বিধান। /র্ফা‌সি/।
 আইন পাশ করা  |আইন প্রবর্তিত করা; ওকালতি পরীক্ষায় পাশ করা।
 আইন মতে  |আইন অনুযায়ী।
 আইন-কানুন  |/বিশেষ্য পদ/ বিধি-ব্যবস্থা; প্রচলিত আচার।
 আইনজীবি  |/বিশেষ্য পদ/ আইন ব্যবসায়ী, উকিল, ব্যরিস্টার প্রভৃতি ব্যবহারজীবি।
 আইনত  |/ক্রিয়া বিশেষণ পদ/ আইন অনুসারে।
 আইবড়-ভাত  |বিবাহের পূর্বে সংস্কার বিশেষ।
 ই  |বাংলা ভাষার তৃতীয় স্বরবর্ণ।
 ইঁচড়ে পাকা  |অকাল পক্ক; ফাজিল; ডেঁপো।
 ইঁট  |ইট-এর রূপভেদ।
 ইঁদারা, ইন্দারা  |/বিশেষ্য পদ/ পাতকুয়া; পাকা বড় কুয়া।
 ইঁদুর, ইন্দুর  |/বিশেষ্য পদ/ মূষিক।
 ইংরাজ, ইংরাজী২, ইংরেজ৩, ইংরেজী৪  |১., ৩. /বিশেষ্য পদ/ ইংলন্ডের অধিবাসী। ২., ৪. /বিশেষণ পদ/ ইংরেজ সম্বন্ধীয়; ইংরেজের ভাষা।
 ইংরেজিয়ানা  |/বিশেষ্য পদ/ সাহেবিয়ানা; ইংরেজদের চালচলনের উৎকট অনুকরণ।
 ইংলিশ  |/বিশেষ্য পদ/ ইংরেজী।
 ইংলিশম্যান  |/বিশেষ্য পদ/ ইংরেজ।
 ইঃ  |/অব্যয় পদ/ দুঃখ, ঘৃণা বা সন্তাপসূচক শব্দ।
 ইউনানী, য়ুনানী  |/বিশেষণ পদ/ গ্রীক; যবানিক, হেকিমি চিকিৎসা.।
 ইউনিয়ান  |/বিশেষ্য পদ/ কর্মিসঙ্ঘ; প্রশাসনের ক্ষুদ্রতম গ্রামীণ এলাকা ইউনিয়ান বোর্ড বা গ্রাম পঞ্চায়েত.; স্বায়ত্তশাসন সংস্থা বিশেষ।
 ইউরেশীয়, ইউরেশিয়ান  |/বিশেষ্য পদ/ ইউরোপ ও এশিয়ার মিলিত বা সংযোগবর্তী অঞ্চল সম্বন্ধীয়; ইউরোপ ও এশিয়ার অধিবাসীদের মিলনের ফলে জাত; ফিরিঙ্গী।
 ইউরোপ  |/বিশেষ্য পদ/ এশিয়ার পশ্চিমস্থ মহাদেশ।
 ইউরোপীয়, য়ুরোপীয়  |/বিশেষণ পদ/ ইউরোপে জাত; ইউরোপ সম্বন্ধীয়।
 ইক্ষু  |/বিশেষ্য পদ/ আখ।
 ইক্ষুদন্ড  |/বিশেষ্য পদ/ আখগাছ।
 ইক্ষ্বাকু  |/বিশেষ্য পদ/ সূর্যবংশীয় প্রথম রাজা।
 ইঙ্গবঙ্গ  |/বিশেষণ পদ/ ইংরেজ ও বাঙ্গালীর মিশ্রণে জাত; ইংরেজী ও বাংলা ভাষার মিশ্রণে জাত।
 ইঙ্গিত  |/বিশেষ্য পদ/ ইশারা; সঙ্কেত।
 ইঙ্গুদ তৈল, ইঙ্গুদী তৈল  |ইঙ্গুদী তেল।
 ইঙ্গুদ, ইঙ্গুদী  |/বিশেষ্য পদ/ কাঁটাগাছ বিশেষ ও তাহার ফল।
 ইচ্ছা  |/বিশেষ্য পদ/ অভিলাষ; প্রবৃত্তি; রুচি; অভিপ্রায়। /ইষ্‌+অ+আ/।
 ইচ্ছাপত্র  |/বিশেষ্য পদ/ ইচ্ছাকৃত দলিল; উইল।
 ইচ্ছাবসন্ত  |/বিশেষ্য পদ/ মসূরিকা।
 ইচ্ছামৃতু্য  |/বিশেষ্য পদ/ আপন ইচ্ছানুসারে মরিবার ক্ষমতা আছে এমন।
 ইচ্ছাময়  |/বিশেষ্য পদ/ ঈশ্বর যাঁহার ইচ্ছায় সব হয়।
 ইচ্ছাময়ী  |/বিশেষ্য পদ/ স্ত্রীলিঙ্গ. পরমেশ্বরী।
 ইচ্ছিত  |/বিশেষণ পদ/ ইচ্ছা করা হইয়াছে এমন।
 ইচ্ছু, ইচ্ছুক  |/বিশেষণ পদ/ ইচ্ছাকারী; সম্মত; রাজী।
 ইজার  |/বিশেষ্য পদ/ পায়জামা। ইজের-এর রূপভেদ।
 ইজারা  |/বিশেষ্য পদ/ নির্দিষ্ট খাজানায় জমি, খাল, বিল, কারবার প্রভৃতির মেয়াদী বন্দোবস্ত, ঠিকা, লিজ।
 ইজারাদার  |/বিশেষণ , বিশেষ্য পদ/ ইজারা গ্রহণকারী। /আরবি/।
 ইজ্জত, ইজ্জৎ  |সম্মান; সম্ভ্রম; সতীত্ব, আবরু। /আরবি/।
 ইঞ্চি  |/বিশেষ্য পদ/ এক ফুটের বার ভাগের একভাগ দৈর্ঘ্য।
 ইঞ্জিন, এঞ্জিন  |/বিশেষ্য পদ/ চালক-যন্ত্র বিশেষ।
 ইঞ্জিনিয়ারিং  |১. /বিশেষ্য পদ/ যন্ত্র বিজ্ঞান। ২. /বিশেষণ পদ/ যন্ত্র বিজ্ঞান বিষয়ক।
 ইট  |/বিশেষ্য পদ/ পাকা ঘর বাড়ী ইত্যাদি তৈয়ারী করার জন্য পোড়া মাটির পিন্ড বিশেষ; ইষ্টক।
 ইট-পাটকেল  |/বিশেষ্য পদ/ পুরা ও টুকরা ইট।
 ইটখোলা  |/বিশেষ্য পদ/ ইট তৈয়ারীর জায়গা।
 ইতঃপূর্বে  |/ক্রিয়া বিশেষণ পদ/ ইহার আগে।
 ইতর  |/বিশেষণ পদ/ অপর; ভিন্ন; অভদ্র; নীচ; নিম্ন শ্রেণীভুক্ত ইতর জীব.। /ই+তৃ+অ/।
 ইতর ভাষা  |অপভাষা; গালাগালি।
 ইতরবিশেষ  |/বিশেষ্য পদ/ পার্থক্য।
 ইতরাম, ইতরামি, ইতরামো  |/বিশেষ্য পদ/ নীচ আচরণ।
 ইতরেতর  |/বিশেষণ পদ/ পরস্পর।
 ইতস্ততঃ, ইতস্তত  |১. /অব্যয় পদ , ক্রিয়া বিশেষণ পদ/ এখানে সেখানে, নানাদিকে। ২. /বিশেষ্য পদ/ দ্বিধা; সঙ্কোচ। /ইতস্‌+ততস্‌/।
 ইতি  |/অব্যয় , বিশেষ্য , বিশেষণ/ সমাপ্তি, শেষ; অবসান; এই প্রকার; ইহা; এই।
 ইতি-উতি  |/ক্রিয়া বিশেষণ পদ/ এদিক্‌ ওদিক্‌।
 ইতিকথা  |/বিশেষ্য পদ/ উপকথা, ইতিহাস।
 ইতিকর্তব্য  |/বিশেষ্য পদ/ যাহা কর্তব্য তাহা।
 ইতিপূর্বে  |/ক্রিয়া বিশেষণ পদ/ ইতঃপূর্বে-এর চলিতরূপ।
 ইতিবৃত্ত  |/বিশেষ্য পদ/ ইতিহাস; অতীত ঘটনার বিবরণী।
 ইতিমধ্যে  |/ক্রিয়া বিশেষণ পদ/ শুদ্ধরূপ ইতোমধ্যে. এই সময়ের মধ্যে; এই অবসরে।
 ইতিহাস  |/বিশেষ্য পদ/ অতীত বৃত্তান্ত; কালানুক্রমকি অতীত কাহিনী।
 ইতু  |/বিশেষ্য পদ/ সূর্য; মিত্র। মিত্র-শব্দজ.।
 ইতুপূজা  |/বিশেষ্য পদ/ অগ্রহায়ন মাসে অনুষ্ঠিত সূর্যপূজা।
 ইতোমধ্যে, ইত্যবসরে  |/ক্রিয়া বিশেষণ পদ/ ইহার মধ্যে; এই সুযোগে।
 ইত্যনুসারে  |/ক্রিয়া বিশেষণ পদ/ এইরূপে, ইহার অনুযায়ী। /ইতি+অনুসারে/।
 ইত্যাকার  |/বিশেষণ পদ/ এইপ্রকার। /ইতি+আকার/।
 ইত্যাদি  |/অব্যয় পদ/ ইহা এবং এই রকম আরও; প্রভৃতি। /ইতি+আদি/।
 ইথর, ঈথর, ইথার  |/বিশেষ্য পদ/ আকাশব্যাপী এক পদার্থ বিশেষ।
 ইথে  |/অব্যয় পদ/ ইহাতে।
 ইদানিং  |/অব্যয় , ক্রিয়া বিশেষণ পদ/ আজকাল; সম্প্রতি; অধুনা। /ইদম্‌+দানীম্‌/।
 ইদানিন্তন  |/বিশেষণ পদ/ এখনকার; বর্তমানকালীন; আধুনিক।
 ইনকার  |/বিশেষ্য পদ/ অস্বীকার। /আরবি/।
 ইনসলভেন্ট  |/বিশেষণ পদ/ দেউলিয়া।
 ইনসাফ  |/বিশেষ্য পদ/ সুবিচার; ন্যায়বিচার।
 ইনি  |/সর্বনাম পদ/ সম্মানে. এই ব্যক্তি।
 ইনিয়ে-বিনিয়ে  |/ক্রিয়া বিশেষণ পদ/ অতিরঞ্জিত করিয়া; অনুনয়-বিনয়ের সহিত।
 ইন্তেকাল, এন্তেকাল  |/বিশেষ্য পদ/ মৃতু্য। /আরবি/।
 ইন্তেজাম, এন্তেজাম  |/বিশেষ্য পদ/ সুবন্দোবস্ত। /আরবি/।
 ইন্তেজার, এন্তেজার  |/বিশেষ্য পদ/ প্রতীক্ষা। /আরবি/।
 ঈ  |বাংলা ভাষার চতুর্থ স্বরবর্ণ।
 ঈকারান্ত  |'ী' শেষে আছে এমন শব্দ।
 ঈক্ষণ  |/বিশেষ্য পদ/ দেখা; চক্ষু। /ঈক্ষ্‌+অন/।
 ঈক্ষিত  |/বিশেষণ পদ/ দৃষ্ট; দেখা হইয়াছে এমন।
 ঈগল  |/বিশেষ্য পদ/ শ্যেন জাতীয় বৃহৎ পক্ষী বিশেষ।
 ঈথর  |/বিশেষ্য পদ/ আকাশব্যাপি এক পদার্থ বিশেষ।
 ঈদ  |/বিশেষ্য পদ/ মুসলমানের দুইটি প্রধান পর্ব; ঈদ্‌-উল-ফিতত্ম্‌, ঈদ-উজ্‌-জোহা.। /আরবি/।
 ঈদৃক, ঈদৃশ  |/বিশেষণ পদ/ এইরূপ; এইরকম। /ইদম্‌+দৃশ্‌+ক্কিপ/। /বিশেষণ পদ/ স্ত্রীলিঙ্গ. ঈদৃশী।
