letter,words
ঔ,"['ঔ', 'ঔকার', 'ঔচিত্য', 'ঔজ্জ্বল্য', 'ঔদরিক', 'ঔদার্য', 'ঔদাসীন্য, ঔদাস্য', 'ঔদ্ধত্য', 'ঔদ্বাহিক', 'ঔপনিবেশিক', 'ঔপনিষদ', 'ঔপন্যাসিক', 'ঔপপত্তিক', 'ঔপমিক', 'ঔপম্য', 'ঔপল', 'ঔপসর্গিক', 'ঔপাধিক', 'ঔরগ', 'ঔরস, ঔরস্য', 'ঔর্ণ', 'ঔর্ধ্বদেহিক, ঔর্ধ্বদৈহিক', 'ঔর্ব', 'ঔর্বাগ্নি', 'ঔর্ব২', 'ঔরৎ', 'ঔশনস', 'ঔষধ', 'ঔষধালয়', 'ঔষধি', 'ঔষ্ট্র', 'ঔষ্ঠ্য', 'ঔৎসর্গিক', 'ঔৎসুক্য', 'ঔড়ব']"
ক,"['ক', 'কংগ্রেস', 'কংস', 'কংসবতী, কংসসাবতী', 'কংসারি', 'কই', 'কইল', 'কইলা', 'কইসর', 'কইয়ে বলিয়ে,কহিয়ে বলিয়ে', 'কওয়া', 'কক, রবার্ট', 'ককান, ককানো', 'ককুদ, ককুৎ', 'ককুৎস্থ', 'কক্ষ', 'কক্ষচূত', 'কক্ষন, কক্ষনো, কক্খন, কক্খনো', 'কখন', 'কখন সখন', 'কঙ্ক', 'কঙ্কণ', 'কঙ্কতী', 'কঙ্কর', 'কঙ্কাল', 'কচকচানি', 'কচলানো', 'কচাল', 'কচি', 'কচুরিপানা', 'কচ্ছ', 'কচ্ছপ', 'কচ্', 'কজ্জ্বল', 'কঞ্চিকা', 'কঞ্চুক', 'কঞ্চুকী', 'কঞ্চুলিকা', 'কঞ্জুস', 'কটক', 'কটমট', 'কটরমটর', 'কটাক্ষ', 'কটাল', 'কটাস কটাস', 'কটাসে', 'কটাহ', 'কটি, কটী', 'কটিবন্ধ, কটীবন্ধ', 'কটিভূষণ, কটীভূষণ', 'কটু কাটব্য', 'কটূ', 'কটূক্তি', 'কট্টর', 'কট্', 'কঠিন', 'কঠোপনিষৎ (-দ্)', 'কঠোর', 'কণা, কণ, কণিকা, কণী', 'কণাদ', 'কত', 'কতক', 'কতকটা', 'কতকি', 'কতনা', 'কতবেল', 'কতল', 'কতশত', 'কতিপয়', 'কথক', 'কথকঠাকুর', 'কথকতা', 'কথঞ্চন', 'কথনীয়', 'কথা', 'কথা আসা', 'কথাকলি', 'কথাপ্রসঙ্গ', 'কথাবার্তা', 'কথার কথা']"
খ,"['খ', 'খ\xa0গ', 'খ\xa0গহস্ত', 'খ\xa0গী', 'খই', 'খইচূর', 'খইঢেকুর', 'খইনি', 'খইল, খৈল, খোল', 'খইয়া, খইয়ে', 'খওয়া', 'খক্ খকানি', 'খক্, খক্-খক্', 'খগ', 'খগপতি, খগরাজ, খগেন্দ্র', 'খগোল', 'খগোলবিদ্যা', 'খচর', 'খচাখচ্', 'খচ্চর', 'খচ্', 'খচ্ খচ্', 'খচ্খচানি', 'খচ্খচে', 'খচ্খচ্ করা', 'খচ্মচ্', 'খঞ্চা', 'খঞ্জ', 'খঞ্জন', 'খঞ্জনি, খঞ্জনী', 'খঞ্জনিকা', 'খঞ্জর', 'খটকা', 'খটাশ, খটাস', 'খটাৎ', 'খটিকা, খটিনী, খটী', 'খট্টা', 'খট্টাশ, খট্টাস', 'খট্টি, খট্টী', 'খট্', 'খট্খটে', 'খট্খট্', 'খত, খৎ', 'খতবা', 'খতম', 'খতরা', 'খতান, খতানো', 'খতি, খতী', 'খতিয়ান, খতেন', 'খত্তাল', 'খদ, খড', 'খদির', 'খদ্দর, খাদি', 'খদ্দের', 'খদ্যোত', 'খধূপ', 'খনক', 'খনন', 'খননীয়', 'খনা', 'খনার বচন', 'খনা২', 'খনি', 'খনিজ', 'খনিত', 'খনিত্র', 'খন্ড', 'খন্ড খন্ড', 'খন্ডকাব্য', 'খন্ডগ্রাস', 'খন্ডন', 'খন্ডনীয়', 'খন্ডপ্রলয়', 'খন্ডান, খন্ডানো', 'খন্ডিত', 'খন্ডিতক্ষুর', 'খন্ডিতা', 'খন্তা, খোন্তা', 'খন্দ', 'খন্দকার, খোন্দকার']"
গ,"['গ', 'গঁদ', 'গং', 'গগন', 'গগনচারী', 'গগনচুম্বী', 'গগনতল, গগনপট', 'গগনপ্রান্ত', 'গগনবিহারী', 'গগনমন্ডল', 'গগনস্পর্শী', 'গঙ্গা', 'গঙ্গা-যমুনা', 'গঙ্গাজল', 'গঙ্গাজলী', 'গঙ্গাজালি', 'গঙ্গাধর', 'গঙ্গাপুত্র', 'গঙ্গাপ্রাপ্তি', 'গঙ্গাফড়িং', 'গঙ্গাবাসী', 'গঙ্গাযাত্রা', 'গঙ্গাযাত্রী', 'গঙ্গালাভ', 'গঙ্গাসঙ্গম, গঙ্গাসাগর', 'গঙ্গোত্তরী, গঙ্গোত্রী', 'গঙ্গোদক', 'গঙ্গোপাধ্যায়', 'গচ্চা, গচ্ছা', 'গচ্ছিত', 'গছান, গছানো', 'গজ', 'গজ-কচ্ছপ', 'গজ-কুম্ভ', 'গজকাঠি', 'গজগতি', 'গজগামী', 'গজগিরি, গীর', 'গজঘন্টা', 'গজদন্ত', 'গজপতি', 'গজবীথি', 'গজভুক্তপিত্থবৎ', 'গজমুক্তা, গজমোতি', 'গজর গজর', 'গজরান, গজরানো', 'গজরানি', 'গজল', 'গজা', 'গজান, গজানো', 'গজানন', 'গজানীক', 'গজারি', 'গজারূঢ়', 'গজারোহী', 'গজাল', 'গজী', 'গজেন্দ্র', 'গজেন্দ্রগমন', 'গজেন্দ্রগামী', 'গজ্গজ্', 'গজ২', 'গঞ্জ', 'গঞ্জন', 'গঞ্জনা', 'গঞ্জিকা', 'গঞ্জিকাসেবী', 'গঞ্জিত', 'গট্গট্, গট্মট্', 'গঠন', 'গঠিত', 'গড্ডল, গড্ডর', 'গড্ডলিকা প্রবাহ, গড্ডরিকা প্রবাহ', 'গড্ডলিকা, গড্ডরিকা', 'গণ', 'গণ-আন্দোলন', 'গণইতে', 'গণক', 'গণতন্ত্র', 'গণতন্ত্রী']"
ঘ,"['ঘ', 'ঘচ্ঘচ্', 'ঘট', 'ঘটক', 'ঘটকর্পর', 'ঘটকার', 'ঘটকালী', 'ঘটন', 'ঘটনা', 'ঘটনাক্রমে, ঘটনাচক্রে', 'ঘটনাধীন', 'ঘটনাপূর্ণ, ঘটনাবহুল', 'ঘটনাবলী', 'ঘটনাবহ', 'ঘটনীয়', 'ঘটপট', 'ঘটমান', 'ঘটযোনী', 'ঘটা', 'ঘটাটোপ', 'ঘটান, ঘটানো', 'ঘটা২', 'ঘটি', 'ঘটিকা', 'ঘটিতব্য', 'ঘটোদ্ভব', 'ঘট্ট', 'ঘট্টজীবী', 'ঘট্টন', 'ঘট্ঘট্', 'ঘন', 'ঘনকফ', 'ঘনকাল', 'ঘনকৃষ্ণ', 'ঘনক্ষেত্র', 'ঘনঘটা', 'ঘনজ্বালা', 'ঘননাভি', 'ঘননীল', 'ঘনপল্লব', 'ঘনবর্ত্ন', 'ঘনবল্লী', 'ঘনবাত', 'ঘনবাস', 'ঘনবাহন', 'ঘনবিন্যস্ত', 'ঘনবীথি', 'ঘনমূল', 'ঘনশ্যাম', 'ঘনসার', 'ঘনস্বন', 'ঘনাগাম', 'ঘনাঙ্ক', 'ঘনাত্যয়, ঘনান্ত', 'ঘনান, ঘনানো', 'ঘনান্ধকার', 'ঘনাবৃত', 'ঘনাশ্রয়', 'ঘনায়মান', 'ঘনিষ্ঠ', 'ঘনিষ্ঠতা', 'ঘনীকৃত', 'ঘনীভূত', 'ঘনোপল', 'ঘন্ট', 'ঘন্টা', 'ঘন্টাকর্ণ', 'ঘন্টিকা, ঘন্টী', 'ঘন্টেশ্বর', 'ঘর', 'ঘরকন্না', 'ঘরকন্না', 'ঘরকুনো', 'ঘরছাড়া', 'ঘরজামাই', 'ঘরজ্বালানো, ঘরজ্বালানী (স্ত্রীঃ)', 'ঘরট্ট', 'ঘরনী', 'ঘরপোষা', 'ঘরপোড়া']"
ঙ,['ঙ']
চ,"['চ', 'চ-বর্গ', 'চই, চৈ', 'চউহাবী', 'চওড়া', 'চক', 'চকসা', 'চকা', 'চকাচকি', 'চকাসিত', 'চকিত', 'চকোর', 'চক্কর', 'চক্র', 'চক্রকুল্যা', 'চক্রগতি', 'চক্রগন্ডু', 'চক্রগোপ্তা', 'চক্রজীবক', 'চক্রদংষ্ট্র', 'চক্রধর', 'চক্রনদী', 'চক্রনাভী', 'চক্রনায়ক', 'চক্রনেমি', 'চক্রপাণি', 'চক্রপাদ', 'চক্রপাল', 'চক্রবর্তী', 'চক্রবাল', 'চক্রবূ্যহ', 'চক্রবৃদ্ধি', 'চক্রভ্রম', 'চক্রাঙ্গ', 'চক্রাঙ্গী', 'চক্রান্ত', 'চক্রাবর্ত', 'চক্রিকা', 'চক্রী', 'চক্ষু', 'চক্ষু কর্ণের বিবাদ ভঞ্জন করা', 'চক্ষুগোচর', 'চক্ষুদান', 'চক্ষুরোগ', 'চক্ষুলজ্জা', 'চক্ষুশূল', 'চক্ষুষ্মান্', 'চক্ষুষ্য', 'চক্ষুস্থির', 'চক্চক্', 'চক্বন্দী', 'চক্বন্দী২', 'চক্মকি', 'চক্মক্', 'চক্মিলান, চক্মিলানো', 'চক২', 'চখা', 'চঙ্ক্রমণ', 'চঞ্চরিক, চঞ্চরীক', 'চঞ্চল', 'চঞ্চলতা', 'চঞ্চলিত', 'চঞ্চা', 'চঞ্চু', 'চঞ্চুপুট', 'চট', 'চটক', 'চটকদার', 'চটকল', 'চটকা', 'চটকান, চটকানো', 'চটক২', 'চটা', 'চটি', 'চটু', 'চট্চটে', 'চট্চট্', 'চট্পটে', 'চট্পট্', 'চট২']"
ছ,"['ছ', 'ছই', 'ছউই', 'ছক', 'ছককাটা', 'ছককাটা', 'ছকা', 'ছক্কা', 'ছক্কড়', 'ছকড়া-নকড়া', 'ছচল্লিশ', 'ছটকান, ছটকানো', 'ছটফট', 'ছটফটানি', 'ছটফটে', 'ছটরা, ছররা', 'ছটা', 'ছটাক', 'ছতরি, ছতরী', 'ছত্র', 'ছত্রক, ছত্রাক', 'ছত্রখান', 'ছত্রদন্ড', 'ছত্রধর, ছত্রধারী', 'ছত্রপতি', 'ছত্রভঙ্গ', 'ছত্রাক', 'ছত্রাকার', 'ছত্রি', 'ছত্রী', 'ছত্রী২', 'ছত্র২, সত্র', 'ছত্র৩', 'ছদ', 'ছদ্ম', 'ছদ্মবেশ', 'ছন', 'ছন্দ', 'ছন্দপতন, ছন্দঃপাত', 'ছন্দানুগমন, ছন্দানুসরণ', 'ছন্দানুগামী, ছন্দানুসারী', 'ছন্দানুবর্তন, ছন্দানুবৃত্তি', 'ছন্দানুবর্তী', 'ছন্দেবন্দে', 'ছন্দ২, ছন্দঃ', 'ছন্ন', 'ছন্নছাড়া', 'ছন্নমতি', 'ছপ্পর, ছাপ্পর, ছাপর', 'ছপ্ছপ্', 'ছবি', 'ছবি২', 'ছম্ছম্', 'ছরকট, ছর্কট', 'ছর্দি (বিরল) ছর্দী', 'ছর্দি২', 'ছল', 'ছলগ্রাহী', 'ছলচাতুরী', 'ছলচ্ছল', 'ছলছল', 'ছলছুতা', 'ছলন, ছলনা', 'ছলপাতা', 'ছলা', 'ছলাকলা', 'ছলাৎ', 'ছলা২', 'ছলিত', 'ছলিয়া', 'ছষট্টি', 'ছা, ছাঁ', 'ছাঁইচ, ছাঁচ', 'ছাঁকনা, ছাঁকনি', 'ছাঁকা', 'ছাঁচ', 'ছাঁচতলা', 'ছাঁচি', 'ছাঁচিকুমড়া', 'ছাঁচিপান']"
জ,"['জ', 'জং', 'জংলা, জংলী', 'জই', 'জউ, জৌ', 'জউঘর, জৌহর, জোহর', 'জওয়াব', 'জক', 'জক্ষ্ণ', 'জখম', 'জখমী', 'জগ', 'জগজগ', 'জগজগা', 'জগজন', 'জগজ্জন', 'জগজ্জননী', 'জগজ্জীবন', 'জগঝম্প', 'জগদম্বা', 'জগদীশ, জগদীশ্বর', 'জগদ্গৌরী', 'জগদ্দল', 'জগদ্ধাত্রী', 'জগদ্বন্ধু', 'জগদ্বাসী', 'জগদ্গুরু', 'জগন্নাথ', 'জগন্নাথধাম, জগন্নাথক্ষেত্র', 'জগন্নিবাস', 'জগন্মাতা', 'জগন্মোহন', 'জগন্ময়', 'জগন্ময়ী', 'জগমন্ডল', 'জগমোহন', 'জগাখিচুড়ি, জগখিচুড়ী', 'জগাতি', 'জগ্ধ', 'জগৎ', 'জগৎপতি, জগৎপাতা, জগৎপিতা', 'জঘন', 'জঘন্য', 'জঘন্যতা', 'জঙ্গডিঙ্গা', 'জঙ্গম', 'জঙ্গল', 'জঙ্গলা, জংলা', 'জঙ্গলী, জংলী', 'জঙ্গাল', 'জঙ্গী', 'জঙ্গীলাট', 'জঙ্গীশাসন', 'জঙ্গুলে', 'জঙ্, জঙ্গ', 'জজ', 'জজিয়তি', 'জঞ্জাল', 'জট', 'জটলা', 'জটা', 'জটাজাল, জটাজুট', 'জটাধর, জটাধারী', 'জটামাংসী', 'জটাল', 'জটায়ু', 'জটি', 'জটিল', 'জটিলা', 'জটী', 'জটুল, জড়ুল', 'জটে, জটিয়া', 'জটেবুড়ী', 'জঠর', 'জঠরজ্বালা', 'জঠরযন্ত্রণা', 'জঠরস্থ', 'জঠরাগ্নি, জঠরানল', 'জণি', 'জতু']"
ঝ,"['ঝ', 'ঝংকার', 'ঝক্কি', 'ঝক্ঝকানো, ঝক্মকানো', 'ঝক্ঝক্, ঝক্মক্', 'ঝক্মারি', 'ঝগড়া', 'ঝগড়াঝাঁটি', 'ঝগড়াটে', 'ঝঙ্কাট, ঝঙ্কাঠ', 'ঝঙ্কার', 'ঝঙ্কারা', 'ঝঙ্কৃত', 'ঝঙ্কৃতি', 'ঝঞ্ছা', 'ঝঞ্ঝনা', 'ঝঞ্ঝাক্ষুদ্ধ', 'ঝঞ্ঝাট', 'ঝঞ্ঝাবর্ত', 'ঝটকা, ঝটকানি', 'ঝটিকা', 'ঝটিকাবর্ত', 'ঝটিতি', 'ঝট্', 'ঝট্পট্', 'ঝনকাট, ঝনকাঠ', 'ঝনাৎ', 'ঝন্ডা', 'ঝনৎকার', 'ঝপাং, ঝপাৎ', 'ঝপাঝপ', 'ঝপ্', 'ঝপ্ঝপ্', 'ঝম্প', 'ঝম্পন', 'ঝম্ঝম্', 'ঝরঝর', 'ঝরঝরে', 'ঝরতি', 'ঝরনা, ঝরণা', 'ঝরিত', 'ঝরোকা', 'ঝর্ঝর', 'ঝর্ঝরিত', 'ঝলক, ঝলকা', 'ঝলকান, ঝলকানো', 'ঝলকানি', 'ঝলমল', 'ঝলমলান, ঝলমলানো', 'ঝলসা', 'ঝলসান, ঝলসানো', 'ঝল্লক, ঝল্লরী', 'ঝাঁ', 'ঝাঁক', 'ঝাঁকা', 'ঝাঁকানি, ঝাঁকুনি, ঝাঁকি', 'ঝাঁকা২', 'ঝাঁকড়-মাকড়. ঝাঁকড়া-মাকড়া', 'ঝাঁকড়া', 'ঝাঁগুড়গুড়', 'ঝাঁজ', 'ঝাঁজালো', 'ঝাঁজ২, ঝাঁঝ, ঝাঁঝর', 'ঝাঁজ৩, ঝাঁজি', 'ঝাঁঝাঁ', 'ঝাঁট', 'ঝাঁটা', 'ঝাঁটাখেকো', 'ঝাঁটান, ঝাঁটানো', 'ঝাঁটি, ঝাঁটী', 'ঝাঁপ', 'ঝাঁপটা', 'ঝাঁপতাল', 'ঝাঁপন', 'ঝাঁপা', 'ঝাঁপান', 'ঝাঁপা২', 'ঝাঁপি, ঝাঁপী', 'ঝাঁপ২', 'ঝাউ']"
ট,"['ট', 'ট-বর্গ', 'টং', 'টংকার', 'টংটং', 'টং২', 'টং৩', 'টইটম্বুর', 'টক', 'টকটক', 'টকটকাস্', 'টকটকাস্', 'টকটকে', 'টকা', 'টকাটক্', 'টকাটক্, টকাস', 'টকান, টকানো', 'টকো', 'টক্কর', 'টক্', 'টক্টক্', 'টক্টক্, টকাটক্', 'টক্২', 'টগর', 'টগরা', 'টগ্বগ্, টগ্বগাবগ্', 'টঙ', 'টঙ্ক', 'টঙ্কণ', 'টঙ্কপতি', 'টঙ্কবিজ্ঞান', 'টঙ্কশালা', 'টঙ্কা', 'টঙ্কার', 'টঙ্ক২', 'টঙ্ক৩', 'টঙ্গ', 'টঙ্গ২, টঙ্গি', 'টন', 'টনক', 'টনক নড়া', 'টনিক', 'টন্', 'টন্টনানি', 'টন্টনে', 'টন্টন্', 'টপকান, টপকানো', 'টপটপ্', 'টপাটপ্', 'টপাস্', 'টপাস্', 'টপ্পা', 'টপ্', 'টপ্টপ্', 'টপ্টপ্২', 'টপ্২', 'টব', 'টবটব', 'টম্যাটো', 'টম্টম্', 'টর্চ', 'টর্নি, টর্নী', 'টল, টলন', 'টলটল', 'টলটলায়মান', 'টলটলে', 'টলন, টল', 'টলমল', 'টলমলান, টলমলানো', 'টলমলে', 'টলা', 'টলান, টলানো', 'টসকা', 'টসকান, টসকানো', 'টসটস', 'টসটসে', 'টসা', 'টসান, টসানো', 'টস্', 'টস্টস্']"
ঠ,"['ঠ', 'ঠং', 'ঠংঠং', 'ঠক', 'ঠকা', 'ঠকান, ঠকানো', 'ঠকামি, ঠকাম, ঠকামো', 'ঠক্কর', 'ঠক্কুর', 'ঠক্', 'ঠক্ঠক্', 'ঠগ', 'ঠগী', 'ঠনাঠন', 'ঠন্', 'ঠন্ঠন্', 'ঠমক', 'ঠমক২', 'ঠসক', 'ঠাঁই', 'ঠাঁই-ঠাঁই', 'ঠাঁই২', 'ঠাওর, ঠাওরান', 'ঠাকরুন', 'ঠাকুর', 'ঠাকুর জামাই', 'ঠাকুর ঝি', 'ঠাকুরকাত', 'ঠাকুরঘর', 'ঠাকুরদা', 'ঠাকুরদালান', 'ঠাকুরপূজা', 'ঠাকুরপো', 'ঠাকুরবাড়ি', 'ঠাকুরমশাই', 'ঠাকুরমা,', 'ঠাকুরসেবা', 'ঠাকুরাল, ঠাকুরালি, ঠাকুরালী', 'ঠাঞি', 'ঠাট', 'ঠাট্টা', 'ঠাট২', 'ঠাঠা (আঞ্চ) ঠাডা', 'ঠান', 'ঠানদিদি', 'ঠান্ডা', 'ঠাম', 'ঠার', 'ঠারা', 'ঠারে-ঠোরে', 'ঠাস', 'ঠাসা', 'ঠাসা-ঠাসি', 'ঠাস্', 'ঠাস্-ঠাস্', 'ঠাহর, ঠাওর', 'ঠাহরান, ঠাহরানো, ঠাওরান, ঠাওরানো', 'ঠাড়', 'ঠায়', 'ঠিক', 'ঠিক-ঠিকানা', 'ঠিকঠাক', 'ঠিকরন, ঠিকরনো', 'ঠিকরা', 'ঠিকরান, ঠিকরানো', 'ঠিকরা২', 'ঠিকরে', 'ঠিকা', 'ঠিকা করা', 'ঠিকাদার', 'ঠিকাদারি', 'ঠিকাদারী', 'ঠিকানা', 'ঠিকুজি, ঠিকুজী', 'ঠুঁটা, (কথ্য) ঠুঁটো', 'ঠুঁটো জগন্নাথ', 'ঠুং', 'ঠুংঠুং', 'ঠুংরি, ঠুংরী', 'ঠুকরান']"
ড,"['ড', 'ডওর', 'ডক', 'ডগ', 'ডগডগ', 'ডগডগে', 'ডগমগ', 'ডগা', 'ডঙ্কা', 'ডঙ্কা দেয়া, ডঙ্কা মারা, ডঙ্কা পেটা', 'ডজন', 'ডন', 'ডবকা', 'ডবডব', 'ডবডবানি', 'ডবডবে', 'ডবল', 'ডবল-ডেকার', 'ডমরু', 'ডমরুধর', 'ডমরুমধ্য', 'ডম্ফ', 'ডম্বর', 'ডম্বরু, ডম্বুরু, ডম্বুর', 'ডর', 'ডরা', 'ডরান, ডরানো', 'ডলন', 'ডলা', 'ডলাই-মলাই', 'ডলান, ডলানো', 'ডহর', 'ডাঁই', 'ডাঁট', 'ডাঁটা', 'ডাঁটি', 'ডাঁট২', 'ডাঁট৩, ডাঁটো', 'ডাঁশ', 'ডাঁশা, ডাঁসা', 'ডাংগুলি, ডাঙ্গুলি', 'ডাইন, ডান, ডাহিন', 'ডাইনদিক, ডানদিক,', 'ডাইনহাত, ডানহাত, ডাহিনহাত', 'ডাইন২, ডান২, ডাইনী', 'ডাইস', 'ডাক', 'ডাক-পুরুষ', 'ডাকতে কালী', 'ডাকবাংলো', 'ডাকবিভাগ', 'ডাকর', 'ডাকসাইটে', 'ডাকসু', 'ডাকা', 'ডাকাডাকি', 'ডাকাত', 'ডাকাত পড়া', 'ডাকাতি', 'ডাকাতী', 'ডাকান, ডাকানো', 'ডাকাবুকা, ডাকবুকো', 'ডাকিনী', 'ডাকিয়া বলা', 'ডাকু', 'ডাক্তার', 'ডাক্তারখানা', 'ডাক্তারি', 'ডাক্তারী', 'ডাক২', 'ডাক৩', 'ডাক৪', 'ডাক৫', 'ডাগর', 'ডাঙ্গশ, ডাঙশ', 'ডাঙ্গা, ডাঙা', 'ডাঙ্গুলি, ডাংগুলি', 'ডানকুনি', 'ডানপিটে', 'ডানা']"
ঢ,"['ঢ', 'ঢং', 'ঢংঢং', 'ঢং২, ঢঙ, ঢঙ্গ', 'ঢক', 'ঢক্কা', 'ঢক্', 'ঢক্ঢক্', 'ঢন্, ঢন্ ঢন্', 'ঢপ', 'ঢপ্', 'ঢপ্ ঢপ্, ঢব্ঢব্', 'ঢপ২', 'ঢল', 'ঢলঢল', 'ঢলঢলে', 'ঢলা', 'ঢলাঢলি', 'ঢলান, ঢলানো', 'ঢলানে', 'ঢাউস', 'ঢাক', 'ঢাক পেটা, ঢাকঢোল পেটা', 'ঢাকঢাক-গুড়গুড়', 'ঢাকনা, ঢাকনি, ঢাকুনি (আঞ্চ) ঢাকন', 'ঢাকা', 'ঢাকাই', 'ঢাকা২', 'ঢাকি, ঢাকী', 'ঢাকের দায়ে মনস বিকানো', 'ঢাকের বাঁয়া', 'ঢাল', 'ঢালা', 'ঢালাই', 'ঢালাইকর', 'ঢালাইখানা', 'ঢালাও', 'ঢালাঢালী', 'ঢালী', 'ঢালু', 'ঢাল২', 'ঢি-ঢি', 'ঢি-ঢিকার, ঢি-ঢিক্কার, ঢি-ঢিরব', 'ঢিকনো, ঢিকানো', 'ঢিট', 'ঢিটপনা', 'ঢিপ', 'ঢিপি, ঢিবি', 'ঢিমা, (কথ্য) ঢিমে', 'ঢিমেতেতালা', 'ঢিমেতেতালায়', 'ঢিল', 'ঢিলা, ঢিলে (আঞ্চ) ঢিল২', 'ঢিলেমি', 'ঢু, ঢুঁ', 'ঢুঁড়া, ঢোঁড়া', 'ঢুকা, ঢুকান, ঢুকন', 'ঢুক্', 'ঢুক্ঢুক্', 'ঢুঢু, ঢুঁঢুঁ', 'ঢুল', 'ঢুলঢুল, ঢুলঢুল করা', 'ঢুলঢুলে, ঢুলুঢুলু', 'ঢুলনী, ঢুলুনী', 'ঢুলা, ঢুলান, ঢুলন', 'ঢুলী', 'ঢুস', 'ঢুসাঢুসি', 'ঢুসান, ঢুসানো', 'ঢেঁকি', 'ঢেঁকির কচকচি', 'ঢেঁকিশাল', 'ঢেঁকুর, ঢেকুর', 'ঢেঁঙ্গা, ঢেঙা, ঢ্যাঙা', 'ঢেঁটা', 'ঢেঁড়স, ঢ্যাঁড়স', 'ঢেঁড়া, ঢেঁটরা, ঢেঁড়ি', 'ঢেঁড়ি২', 'ঢেউ', 'ঢেউখেলান, ঢেউখেলানো, ঢেউতোলা']"
ণ,"['ণ', 'ণ ফলা', 'ণত্ববিধান, ণত্ববিধি', 'ণিচ্', 'ণিজন্ত', 'ণিজন্ত ধাতু']"
ত,"['ত', 'ত-খরচ', 'তঁহি, তহিঁ', 'তঃ (চলিত) ত', 'তই', 'তইখন', 'তক', 'তকত-তাউস, তক্ত-তাউস, তকত-তাউস', 'তকতক, তক্তক্', 'তকতকে', 'তকদির', 'তকমা', 'তকরার', 'তকরারী', 'তকলি', 'তকলিফ', 'তক্ক', 'তক্ত', 'তক্তপোশ, তক্তাপোশ', 'তক্তা', 'তক্তানামা', 'তক্তি', 'তক্র', 'তক্রপিন্ড', 'তক্ষক', 'তক্ষণ', 'তক্ষণ', 'তক্ষণী', 'তক্ষযজ্ঞ', 'তক্ষশিলা', 'তক্ষুণি', 'তখত, তখ্ত, তক্ত', 'তখতনামা', 'তখন', 'তখনই, তখনি', 'তখনকার', 'তখমা', 'তগর', 'তগির', 'তঙ্ক', 'তঙ্কন', 'তঙ্কা', 'তচনচ, তছনছ', 'তছরুপ, তছরূপ', 'তছু', 'তজ্জনিত', 'তজ্জন্যে', 'তজ্জাত', 'তঞ্চক', 'তঞ্চন', 'তট', 'তটস্থ', 'তটস্থ লক্ষণ', 'তটস্থা শক্তি', 'তটস্থ২', 'তটিনী', 'তত', 'ততঃ', 'ততঃকিম্', 'ততক্ষণ', 'ততযন্ত্র', 'ততহি, ততহিঁ', 'ততেক', 'ততোধিক', 'তত্তাবৎ', 'তত্তুল্য', 'তত্ত্ব', 'তত্ত্ব করা', 'তত্ত্বজিজ্ঞাসা', 'তত্ত্বজ্ঞ', 'তত্ত্বজ্ঞান', 'তত্ত্বজ্ঞানী', 'তত্ত্বতঃ', 'তত্ত্বতল্লাস, তত্ত্বতালাস', 'তত্ত্বদর্শী', 'তত্ত্ববধারক', 'তত্ত্ববিদ্যা', 'তত্ত্ববিবেক', 'তত্ত্ববিৎ', 'তত্ত্বলোচনা']"
থ,"['থ', 'থ-কার', 'থঅন২', 'থই থই, থৈ থৈ', 'থই, থৈ', 'থউকা', 'থকথক, থক্থক্', 'থকথকে', 'থকা', 'থকিত', 'থক্', 'থক্থক্', 'থতমত', 'থপাস্ থপাস্', 'থপ্', 'থপ্থপ্', 'থমক', 'থমকান, থমকানো', 'থমকানি', 'থমকি', 'থমথম, থম্থম্', 'থমথমে', 'থর', 'থরথর', 'থরথরানি', 'থরথরানো', 'থরহরি', 'থরি', 'থরে-থরে, থরে-বিথরে', 'থলথল', 'থলথলে', 'থলি, থলী, থলিয়া, থলে', 'থলো', 'থসথস, থস্থস্', 'থসথসে', 'থা', 'থাই', 'থাউকা, থাউকো, থাওকা, থউকা', 'থাক', 'থাককাটা', 'থাকবন্দী', 'থাকবস্তি', 'থাকা', 'থাকাথাকি', 'থাকান, থাবানো', 'থাকা২', 'থাকিয়া-থাকিয়া, থেকে-থেকে', 'থান', 'থানকুনি', 'থানা', 'থানাদার', 'থানাদারি, থানাদারী', 'থাপক', 'থাপড়, থাপ্পড়, থাপড়া', 'থাবা', 'থাবড়ি', 'থাম', 'থামা', 'থামান, থামানো', 'থামাল', 'থারি, থারী', 'থার্মোমিটার', 'থালা, থাল', 'থালি, থালী', 'থাসা', 'থিকথিক', 'থিত', 'থিতান, থিতানো, থিতন, থিতনো', 'থির', 'থিয়েটার', 'থিয়েটারওয়ালা', 'থিয়েটারী', 'থু, থুঃ', 'থু-থু, থুঃ-থুঃ', 'থুক', 'থুকথুক, থুক্থুক্', 'থুতনি', 'থুতু, থুথু', 'থুপি', 'থুপ্']"
